"09-2016","252.24","252.24"
"10-2016","59090.48","59342.72"
"12-2016","19.62","59362.34"
"01-2017","138488.04","138488.04"
"02-2017","291908.01","430396.05"
"03-2017","449863.6","880259.65"
"04-2017","417788.03","1298047.68"
"05-2017","592918.82","1890966.5"
"06-2017","511276.38","2402242.88"
"07-2017","592382.92","2994625.8"
"08-2017","674396.32","3669022.12"
"09-2017","727762.45","4396784.57"
"10-2017","779677.88","5176462.45"
"11-2017","1194882.8","6371345.25"
"12-2017","878401.48","7249746.73"
"01-2018","1115004.18","1115004.18"
"02-2018","992463.34","2107467.52"
"03-2018","1159652.12","3267119.64"
"04-2018","1160785.48","4427905.12"
"05-2018","1153982.15","5581887.27"
"06-2018","1023880.5","6605767.77"
"07-2018","1066540.75","7672308.52"
"08-2018","1022425.32","8694733.84"
"09-2018","4439.54","8699173.38"
"10-2018","589.67","8699763.05"
